"scanid","X","trial_order","pid","time","group","list","task","run.order","rerun","original.run","num1","num2","num3","correct.answer","offset","category","probset","iti_onset","iti_duration","stim_onset","stim_duration","response","accuracy","cumulative.response.time","response.time","timedout","rtcorrect","rerun.order","taskname","training_group"
"9228_1_1.3T2",1,2,16,"pre","VNT",1,"grid",4,0,1,5,9,12,1,-2,"large single","Untrained_Acc",12.52,5.7,18.215,6,1,1,21.256,3.044,0,3.044,NA,"grid1","A"
"9228_1_1.3T2",4,5,14,"pre","VNT",1,"grid",4,0,1,3,2,6,2,1,"small single","Untrained_Acc",44.522,4.9,49.401,6,2,1,52.541,3.144,0,3.144,NA,"grid1","A"
"9228_1_1.3T2",10,11,20,"pre","VNT",1,"grid",4,0,1,2,17,21,2,2,"small double","Untrained_Acc",112.205,7.6,119.814,6,2,1,123.772,3.961,0,3.961,NA,"grid1","A"
"9228_1_1.3T2",14,15,24,"pre","VNT",1,"grid",4,0,1,9,18,30,2,3,"large double","Untrained_Acc",163.92,7.6,171.513,6,2,1,176.44,4.93,0,4.93,NA,"grid1","A"
"9228_1_1.3T2",15,16,18,"pre","VNT",1,"grid",4,0,1,8,9,15,1,-2,"large single","Untrained_Acc",177.524,4.3,181.803,6,1,1,186.373,4.572,0,4.572,NA,"grid1","A"
"9228_1_1.3T2",3,4,22,"pre","VNT",1,"grid",4,0,1,13,9,20,1,-2,"large double","Untrained_InAcc",34.531,4,38.511,6,2,0,42.203,3.695,0,NA,NA,"grid1","A"
"9228_1_1.3T2",2,3,101,"pre","VNT",1,"sym",1,0,3,12,0,10,2,-2,"large single","Control_Acc",24.217,4.3,28.53,6,2,1,30.895,2.368,0,2.368,NA,"sym1","A"
"9228_1_1.3T2",6,7,99,"pre","VNT",1,"sym",1,0,3,9,0,11,2,2,"large single","Control_Acc",65.509,7.6,73.118,6,2,1,74.669,1.553,0,1.553,NA,"sym1","A"
"9228_1_1.3T2",7,8,107,"pre","VNT",1,"sym",1,0,3,24,0,24,1,0,"large double","Control_Acc",79.128,4.2,83.329,6,1,1,85.076,1.749,0,1.749,NA,"sym1","A"
"9228_1_1.3T2",12,13,103,"pre","VNT",1,"sym",1,0,3,17,0,16,2,-1,"small double","Control_Acc",138.804,5.6,144.431,6,2,1,145.765,1.336,0,1.336,NA,"sym1","A"
"9228_1_1.3T2",13,14,105,"pre","VNT",1,"sym",1,0,3,20,0,20,1,0,"large double","Control_Acc",150.424,7.5,157.919,6,1,1,159.368,1.452,0,1.452,NA,"sym1","A"
"9228_1_1.3T2",16,17,97,"pre","VNT",1,"sym",1,0,3,4,0,4,1,0,"small single","Control_Acc",187.805,4.4,192.217,6,1,1,193.968,1.753,0,1.753,NA,"sym1","A"
"9228_1_1.3T2",0,1,75,"pre","VNT",1,"sym",1,0,3,4,5,9,1,0,"small single","Trained_Acc",0.001,6.5,6.501,6,1,1,8.402,1.904,0,1.904,NA,"sym1","A"
"9228_1_1.3T2",8,9,79,"pre","VNT",1,"sym",1,0,3,4,12,16,1,0,"small double","Trained_Acc",89.337,4.4,93.714,6,1,1,96.298,2.586,0,2.586,NA,"sym1","A"
"9228_1_1.3T2",9,10,73,"pre","VNT",1,"sym",1,0,3,2,6,10,2,2,"small single","Trained_Acc",99.709,6.5,106.202,6,2,1,108.436,2.236,0,2.236,NA,"sym1","A"
"9228_1_1.3T2",14,15,83,"pre","VNT",1,"sym",1,0,3,6,19,22,2,-3,"large double","Trained_Acc",163.929,7.6,171.504,6,2,1,174.472,2.971,0,2.971,NA,"sym1","A"
"9228_1_1.3T2",15,16,77,"pre","VNT",1,"sym",1,0,3,9,4,10,2,-3,"large single","Trained_Acc",177.515,4.3,181.811,6,2,1,185.626,3.817,0,3.817,NA,"sym1","A"
"9228_1_1.3T2",5,6,81,"pre","VNT",1,"sym",1,0,3,14,9,23,1,0,"large double","Trained_InAcc",55.403,4.1,59.515,6,NA,0,NA,NA,1,NA,NA,"sym1","A"
"9228_1_1.3T2",1,2,89,"pre","VNT",1,"sym",1,0,3,4,8,12,1,0,"large single","Untrained_Acc",12.512,5.7,18.206,6,1,1,21.039,2.835,0,2.835,NA,"sym1","A"
